origin,sample,label
UIC的办学性质是什么？,UIC的业务性质是什么？,1
学校现在有多少在校生？,目前有多少学生在学校就读？,1
北师港浸大的全称是什么？,北师大香港浸会大学的全称是什么？,1
简单介绍一下UIC,UIC的简要介绍,1
UIC办学定位是什么？,UIC的定位是什么？,1
UIC的专业有什么？,UIC的专业有哪些？,1
UIC的教学质量怎么保证？,UIC的教学质量是如何保证的？,1
可否转专业？,我可以改变我的专业吗？,1
怎么转专业?,如何改变我的专业？,1
依据大类专业入读的学生，将如何分流？,UIC如何根据学生的专业录取他们？,0
UIC统招本科生颁发何种毕业证书？,UIC的本科生获得什么样的毕业证书？,1
UIC颁发的香港浸会大学的学士学位证为什么有“荣誉”二字？,"为什么UIC颁发的香港浸会大学学士学位上有 ""荣誉 ""二字？",1
UIC的教育模式是怎样的？,UIC的教育模式是什么？,1
博雅教育是什么？,什么是通识教育？,0
UIC的副修课程有什么？,UIC的辅修课程有哪些？,1
工商管理学部的副修课程有什么？,工商管理系的辅修课程有哪些？,1
人文与社会科学学部的副修课程有什么？,人文与社会科学系的辅修课程有哪些？,1
理工科技学部的副修课程有什么？,科学、工程和技术系的辅修课程有哪些？,0
文化与创意学部的副修课程有什么？,文化与创意研究系的辅修课程有哪些？,1
国际化教育是什么？,什么是国际教育？,1
简要介绍一下英文教学,简要介绍一下英语教育,1
简要介绍一下国际化课程,什么是国际化的课程？,1
全人教育是什么？,什么是全人教育？,1
四维教育是什么？,什么是四维教育？,1
学校毕业生的深造就业情况如何？,学校毕业生的升学和就业情况如何？,1
苑舍的情况怎么样?,校园的情况如何？,0
学校有什么课余活动?,学校有什么样的课余活动？,1
学校对大一新生提供哪些辅导及个人成长帮助?,学校为新生提供什么样的心理辅导和个人成长帮助？,1
什么是导师关顾计划？,什么是导师关怀计划？,1
可以进行哪些出国学习？,有哪些海外学习项目？,1
本科招生热线是什么？,本科生招生热线是什么？,1
传真号码是什么？,传真号码是多少？,1
招生咨询邮箱是什么？,招生咨询的电子邮件地址是什么？,1
UIC的邮政编码是什么？,UIC的邮政编码是多少？,1
学校招生办的通讯地址是什么？,学校招生办公室的邮寄地址是什么？,1
学校官网网址是什么？,该校的网站是什么？,1
港澳台侨联招、台湾学测考生招生咨询渠道是什么？,港澳台联合招生和台湾学业考试考生的录取咨询渠道是什么？,1
国际学生本科招生在哪里咨询？,在哪里可以得到国际本科生招生的咨询？,1
授课型研究生专业咨询方式？,授课型研究生项目的咨询渠道是什么？,1
研究型硕士、博士研究生项目咨询方式？,如何咨询研究型硕士和博士项目？,1
UIC招生信息网是什么,什么是UIC的招生信息网？,1
UIC的座右铭是什么？,UIC的校训是什么？,1
